id_site,no_spec,lon,lat,MAT,MAP,HYP,LOP
189296,20,-5.51,8.7,26.9,1124,2.05,1.3
183775,14,-4.22,11.84,27.7,885,2.214,1.286
186930,17,-1.64,10.04,28.2,1028,2.294,1.294
75929,19,22.73,-14.99,22.5,1078,2.316,1.421
95686,15,24.35,-3.76,25.2,1662,1.467,0.933
186199,10,25.1,10.49,27.2,676,2.1,1.2
202145,30,28.48,1.51,24.1,1800,1.433,0.8
185415,7,26.78,10.94,27.5,514,2.143,1.143
79848,19,34.59,-12.74,24.3,1430,2.158,1.211
194861,22,-8.06,5.55,25.6,2562,1.545,1.143
202128,18,20.84,1.51,25.3,1928,1.556,1
202154,15,32.52,1.51,23.2,1268,2.067,1.2
101265,25,10.45,-0.61,26.1,2060,1.48,0.917
183840,5,25.6,11.84,27.6,405,1.8,0.8
75942,22,28.77,-14.99,22.5,798,2.318,1.409
100527,19,39.22,-1.06,27.1,496,2.263,1.421
60837,25,30.88,-23.97,22,515,2.32,1.48
94095,21,28.19,-4.66,24.1,1260,1.619,0.857
69026,20,21.93,-19.03,22.2,446,2.2,1.35
202123,22,18.59,1.51,25.2,1741,1.5,0.909
182309,4,42.42,12.74,28.5,128,2.25,1.5
199739,27,27.77,2.86,24,2101,1.444,0.815
180636,12,-8.98,13.64,27.2,809,2.083,1.333
67505,15,17.79,-19.93,20.8,454,2.4,1.533
69027,23,22.4,-19.03,22.2,450,2.261,1.348
73594,13,14.24,-16.33,21.5,532,2.154,1.077
199711,28,15.17,2.86,24.3,1605,1.464,0.852
194101,24,9.23,6,26.6,2456,1.458,0.875
196575,7,44.42,4.66,27.1,303,1.857,1.143
194161,20,36.33,6,25.6,923,2.2,1.2
187699,23,-11.45,9.6,25.2,2041,1.696,1.091
77498,24,30.24,-14.09,23.8,884,2.292,1.292
183085,11,39.27,12.29,19.9,795,1.818,0.909
186981,16,21.62,10.04,27,926,2.25,1.375
199721,24,19.67,2.86,25.2,1742,1.5,0.833
70572,24,34.1,-18.13,23.3,1264,2.25,1.292
199714,25,16.52,2.86,24.2,1654,1.48,0.8
186130,15,-6.41,10.49,26.8,1174,2.133,1.2
99682,20,19.94,-1.51,25.1,2021,1.5,0.947
184614,13,20.23,11.39,27.8,782,2.154,1.231
193385,8,46.01,6.45,27,223,2.125,1.75
61576,18,33.09,-23.52,24.6,528,2.167,1.389
66767,16,25.07,-20.38,21.8,388,2.25,1.438
80596,14,18.59,-12.29,19.8,1312,2,1.143
192468,22,-8.52,6.9,25.4,1963,1.5,1.048
179144,4,20.45,14.54,29.5,249,2,1
197327,30,23.11,4.21,24.9,1721,1.733,1.067
183031,11,14.45,12.29,27.5,457,2.091,1.273
195715,20,17.06,5.1,23.6,1511,1.85,1.1
83772,25,32.87,-10.49,23.7,953,2.24,1.32
72089,20,28.8,-17.23,23.5,748,2.35,1.35
69049,19,32.85,-19.03,19.4,1008,2,1.211
62300,14,27,-23.07,20.2,448,2.286,1.357
176783,5,2.12,15.88,29.6,240,1.8,0.8
183075,10,34.68,12.29,28,727,2.1,1.2
95663,14,14,-3.76,23.9,1487,1.857,1.429
91698,16,27.75,-6,24.6,1096,1.625,0.875
89334,18,39.19,-7.35,25.9,1160,1.833,1.056
62317,14,35.3,-23.07,23.3,958,1.857,1.071
183752,24,-14.78,11.84,26.5,1781,1.833,1.043
79833,22,27.68,-12.74,19.6,1268,2.091,1.318
179922,4,20.98,14.09,28.3,352,1.5,0.5
194902,19,10.43,5.55,20.8,1932,1.579,1
75175,20,32.01,-15.43,24.2,711,2.2,1.15
197335,25,26.72,4.21,24.6,1667,1.8,1.12
70577,15,36.46,-18.13,25.3,1155,1.933,1.133
69041,19,29.05,-19.03,19.6,661,2.211,1.316
71324,19,28.84,-17.68,22.4,753,2.316,1.316
79052,22,28.06,-13.19,20.2,1209,2.091,1.318
77499,27,30.7,-14.09,24.6,862,2.259,1.222
196494,13,7.91,4.66,26.7,3098,1.385,0.923
87739,27,36.94,-8.25,24.9,1445,2.148,1.222
191672,21,-8.8,7.35,24.7,2206,1.524,1.1
90128,20,38.52,-6.9,26.6,993,1.9,1.05
182250,9,15.25,12.74,28.7,384,1.889,0.889
192481,19,-2.64,6.9,25.9,1274,1.579,0.889
188619,5,47.01,9.15,25.1,111,2.4,1.6
181489,6,24.83,13.19,23.9,421,1.5,0.667
91718,24,36.78,-6,19.7,763,1.958,1.208
179906,6,13.57,14.09,27.5,216,1.833,1
175997,4,-4.94,16.33,28,196,2,1
177524,6,-12.24,15.43,29.1,374,1.667,0.667
203734,19,21.68,0.61,24.8,2068,1.526,0.947
194103,22,10.13,6,21.5,2152,1.545,0.955
79035,13,20.21,-13.19,21.3,1088,2.077,1.231
202134,24,23.53,1.51,25.3,1758,1.458,0.917
174466,3,-2.7,17.23,28.4,138,1.667,0.667
79038,16,21.6,-13.19,19.6,1124,2.188,1.25
76725,18,32.05,-14.54,21.9,1161,2.167,1.167
192540,23,24.05,6.9,24.6,1412,2.087,1.217
176789,4,4.93,15.88,29,243,1.5,0.5
86114,16,19.26,-9.15,21.1,1475,1.688,1
97263,21,13.37,-2.86,23.1,1818,1.524,1
182274,4,26.3,12.74,27,322,1.5,0.5
94876,17,19.96,-4.21,25.4,1633,1.471,0.941
95662,12,13.55,-3.76,23.3,1467,1.833,1.333
71304,13,19.41,-17.68,22.3,562,2.308,1.231
63040,14,27.29,-22.62,19.3,464,2.143,1.214
98110,26,33.98,-2.41,22,935,2.115,1.346
82171,14,20.68,-11.39,21.2,1301,1.929,1.143
