specimenID,Place,Member,Order,Family,Subfamily,Tribe,Genus,Species,HYP,LOP,MidMemberAge,TurkanaTimeBin,EastWest,ComLoc,unique_species_used,meanHYP,meanLOP,MAPreg,MATreg,MAPknn,MATknn
KNM-ER-862,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-863,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-864,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-874,8,Okote,Carnivora,Felidae,NA,NA,Panthera,leo,NA,NA,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-899,8,Okote,Primates,Cercopithecidae,NA,NA,NA,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-900,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-901,8,KBS,Perissodactyla,Equidae,NA,Equini,Equus,NA,3,2,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-916,8,KBS,Artiodactyla,Bovidae,NA,Reduncini,Menelikia,lyrocera,3,2,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-927,8,KBS,Proboscidea,Elephantidae,NA,NA,Elephas,recki ileretensis,3,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-954,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-955,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-957,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-958,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-959,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-960,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-961,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-962,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
